Employee ID,Employee Name,Employee Position,Salary,Age,Gender,Department,Hire Date
178,Christopher Reilly,employee,99280,44,Male,Accounts,28-07-2020 00:00
2,Jennifer Newton,employee,66717,44,Male,Management,04-11-2018 00:00
42,Dakota Khan,Administrator,87759,56,Female,Accounts,30-03-2023 00:00
177,Nancy Long,Techies,75973,59,Male,Management,27-06-2018 00:00
55,Jeffrey Miller,Techies,67856,45,Male,Administration,19-03-2022 00:00
46,Elizabeth Tanner,Manager,89041,44,Male,Accounts,15-05-2019 00:00
5,Shawn Harrington,Techies,74446,44,Female,Accounts,05-12-2022 00:00
44,Matthew Knapp,employee,72556,42,Female,Sales,10-12-2022 00:00
83,Jessica Shepherd,employee,94609.34111,32,Female,Accounts,25-10-2019 00:00
111,Anna Logan,Manager,65501,57,Male,Management,07-11-2017 00:00
59,Michele Black,Manager,90034,36,Male,Administration,15-10-2018 00:00
10,Tammy Johnson,Administrator,83700,42,Male,Accounts,Invalid Date
14,Lisa Lara,employee,95005,45,Male,Management,03-02-2023 00:00
158,Amanda Wise,Administrator,98996,48,Female,Accounts,08-12-2022 00:00
26,Matthew Lane,employee,89735,30,Female,Administration,01-11-2020 00:00
107,John Kelly,Manager,83052,49,Female,Management,06-01-2019 00:00
186,Ryan Carlson,Techies,61005,39,Female,Sales,16-08-2022 00:00
88,Raymond Williams,Manager,79914,48,Male,Management,17-05-2018 00:00
194,Mary Burns,Techies,97088,41,Male,Sales,24-05-2022 00:00
114,Angelica Hamilton,Administrator,87627,46,Male,Management,30-06-2019 00:00
181,Michelle Pierce,Techies,82618,51,Female,Management,08-02-2018 00:00
170,Gary Blanchard,Manager,72293,44,Female,Administration,04-09-2021 00:00
110,Holly Fields,employee,90630,38,Male,Management,09-07-2018 00:00
33,Tony Martin,employee,77370,44,Female,Sales,15-11-2018 00:00
138,Jennifer Lee,Administrator,75108,37,Male,Human_Resources,27-10-2020 00:00
61,Anthony Perez,Manager,76009,53,Others,Sales,21-02-2022 00:00
197,James Avila,Administrator,60615,59,Female,Administration,02-09-2020 00:00
57,Lacey Bell,employee,80590,45,Female,Management,21-01-2022 00:00
183,Walter Mcguire,Techies,62860,50,Female,Management,20-06-2023 00:00
131,Mariah Bryant,Administrator,76931,51,Female,Administration,14-09-2019 00:00
9,Misty Wright,Techies,95142,37,Female,Accounts,03-06-2021 00:00
91,James Henderson,Administrator,66120,45,Female,Sales,27-07-2021 00:00
43,Daisy Mitchell,Manager,63972,55,Female,Accounts,03-04-2022 00:00
41,Brian Walsh,Techies,72478,36,Male,Management,08-10-2019 00:00
8,Christine Taylor,Manager,83526,52,Female,Accounts,17-06-2019 00:00
28,Jaime Harris,employee,70016,53,Male,Administration,08-04-2021 00:00
106,Nicole Franklin,Techies,98278,31,Female,Management,20-03-2019 00:00
108,Stephanie Thompson,employee,91996,44,Female,Management,25-07-2022 00:00
198,Zachary Carpenter,employee,64840,58,Female,Administration,23-10-2021 00:00
155,Robin Wagner,Administrator,89755,34,Male,Human_Resources,06-09-2022 00:00
120,Thomas Davis,Manager,97924,31,Female,Administration,24-12-2017 00:00
130,Tracy Parker,Techies,81300,41,Female,Sales,13-11-2019 00:00
136,Chelsea Lewis,Administrator,91015,44,Female,Management,02-03-2019 00:00
70,Connor Holland,Manager,84196,44,Male,Management,07-12-2020 00:00
192,Mitchell Franklin,Manager,81258,33,Female,Human_Resources,10-08-2021 00:00
47,Lisa Garcia,Manager,66112,45,Male,Management,18-02-2021 00:00
167,Michael Brown,Administrator,86244,44,Male,Management,28-03-2021 00:00
21,William Young,employee,93392,44,Male,Accounts,23-10-2018 00:00
